marker,sort,pt,cond,pct
41bb,CD69-,a,bsl,0.58
41bb,CD69+,a,bsl,2.07
IFNG,CD69-,a,bsl,3.09
IFNG,CD69+,a,bsl,1.23
TNFa,CD69-,a,bsl,3.09
TNFa,CD69+,a,bsl,1.23
Gzmb,CD69-,a,bsl,29.4
Gzmb,CD69+,a,bsl,11.2
Ki67,CD69-,a,bsl,0.66
Ki67,CD69+,a,bsl,0.57
PD1,CD69-,a,bsl,47.3
PD1,CD69+,a,bsl,65.4
41bb,CD69-,b,bsl,0.48
41bb,CD69+,b,bsl,3.41
IFNG,CD69-,b,bsl,0.48
IFNG,CD69+,b,bsl,1.12
TNFa,CD69-,b,bsl,1.06
TNFa,CD69+,b,bsl,1.24
Gzmb,CD69-,b,bsl,78.6
Gzmb,CD69+,b,bsl,49.6
Ki67,CD69-,b,bsl,2.69
Ki67,CD69+,b,bsl,2.93
PD1,CD69-,b,bsl,20
PD1,CD69+,b,bsl,76.5
41bb,CD69-,c,bsl,0.043
41bb,CD69+,c,bsl,2.71
IFNG,CD69-,c,bsl,0.13
IFNG,CD69+,c,bsl,0.65
TNFa,CD69-,c,bsl,1.7
TNFa,CD69+,c,bsl,0.84
Gzmb,CD69-,c,bsl,82.2
Gzmb,CD69+,c,bsl,68
Ki67,CD69-,c,bsl,0.88
Ki67,CD69+,c,bsl,2.71
PD1,CD69-,c,bsl,51.3
PD1,CD69+,c,bsl,75.5
41bb,CD69-,a,stim,6.66
41bb,CD69+,a,stim,22.2
IFNG,CD69-,a,stim,28.05
IFNG,CD69+,a,stim,18.2
TNFa,CD69-,a,stim,2.74
TNFa,CD69+,a,stim,2
Gzmb,CD69-,a,stim,74.8
Gzmb,CD69+,a,stim,48.6
Ki67,CD69-,a,stim,2.065
Ki67,CD69+,a,stim,2.56
PD1,CD69-,a,stim,45.15
PD1,CD69+,a,stim,61.2
41bb,CD69-,b,stim,21.4
41bb,CD69+,b,stim,25.5
IFNG,CD69-,b,stim,16.2
IFNG,CD69+,b,stim,21.9
TNFa,CD69-,b,stim,14.4
TNFa,CD69+,b,stim,25.5
Gzmb,CD69-,b,stim,70.2333333
Gzmb,CD69+,b,stim,32.3
Ki67,CD69-,b,stim,26.3
Ki67,CD69+,b,stim,25.9666667
PD1,CD69-,b,stim,26.7666667
PD1,CD69+,b,stim,24.2
41bb,CD69-,c,stim,13.8
41bb,CD69+,c,stim,75.2
IFNG,CD69-,c,stim,53.47
IFNG,CD69+,c,stim,56.4
TNFa,CD69-,c,stim,11.4166667
TNFa,CD69+,c,stim,2.08
Gzmb,CD69-,c,stim,93.83
Gzmb,CD69+,c,stim,89.4
Ki67,CD69-,c,stim,10.09
Ki67,CD69+,c,stim,16
PD1,CD69-,c,stim,59.4
PD1,CD69+,c,stim,70.2
