obs_names,predicted_labels,majority_voting
Oetjen_2018.S_T1:2152,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:3214,Treg(diff),Follicular helper T cells
Zheng_2021.P20190322-P:748,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:5584,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM13_pos:11225,Tem/Effector helper T cells,Tem/Effector helper T cells
Kfoury_2021.BMM6:1767,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MGUS1_pos:6006,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.J:210,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.O:3238,Tem/Effector helper T cells,Tem/Effector helper T cells
Bailur_2019.mgus9:998,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM1_pos:9650,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_neg:2990,Tem/Temra cytotoxic T cells,NK cells
Foster_2024.SMM1_pos:3553,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM7_pos:7609,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:9745,NK cells,NK cells
Foster_2024.SMM9_neg:3407,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM8_pos:7098,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mgus14:421,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-P:1870,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM9_pos:3404,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM8_neg:3729,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.58408_Primary:2987,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM4_pos:881,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:5892,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_neg:2634,Tem/Effector helper T cells,Tem/Effector helper T cells
Zavidij_2020.NBM-11:760,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM3_pos:1258,Tem/Effector helper T cells,Tem/Effector helper T cells
Granja_2019.BMMC_D1T1:2791,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:3786,Regulatory T cells,Regulatory T cells
Kfoury_2021.BMM6:277,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.R:111,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.R:2006,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.B:791,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:6118,Follicular helper T cells,Tem/Effector helper T cells
