sample_id,sort_id
Foster_2024.HD1_neg,T cell-depleted
Foster_2024.HD1_pos,T cell-enriched
Foster_2024.HD2_neg,T cell-depleted
Foster_2024.HD2_pos,T cell-enriched
Foster_2024.HD3_neg,T cell-depleted
Foster_2024.HD3_pos,T cell-enriched
Foster_2024.MGUS1_neg,T cell-depleted
Foster_2024.MGUS1_pos,T cell-enriched
Foster_2024.MM1,CD8-enriched
Foster_2024.MM2,CD8-enriched
Foster_2024.MM3_neg,T cell-depleted
Foster_2024.MM3_pos,T cell-enriched
Foster_2024.MM4_neg,T cell-depleted
Foster_2024.MM4_pos,T cell-enriched
Foster_2024.MM5_neg,T cell-depleted
Foster_2024.MM5_pos,T cell-enriched
Foster_2024.MM6_neg,T cell-depleted
Foster_2024.MM6_pos,T cell-enriched
Foster_2024.MM7_neg,T cell-depleted
Foster_2024.MM7_pos,T cell-enriched
Foster_2024.SMM1_neg,T cell-depleted
Foster_2024.SMM1_pos,T cell-enriched
Foster_2024.SMM10_neg,T cell-depleted
Foster_2024.SMM10_pos,T cell-enriched
Foster_2024.SMM11_neg,T cell-depleted
Foster_2024.SMM11_pos,T cell-enriched
Foster_2024.SMM12_neg,T cell-depleted
Foster_2024.SMM12_pos,T cell-enriched
Foster_2024.SMM13_neg,T cell-depleted
Foster_2024.SMM13_pos,T cell-enriched
Foster_2024.SMM14_neg,T cell-depleted
Foster_2024.SMM14_pos,T cell-enriched
Foster_2024.SMM2_neg,T cell-depleted
Foster_2024.SMM2_pos,T cell-enriched
Foster_2024.SMM3_neg,T cell-depleted
Foster_2024.SMM4_neg,T cell-depleted
Foster_2024.SMM4_pos,T cell-enriched
Foster_2024.SMM5_neg,T cell-depleted
Foster_2024.SMM5_pos,T cell-enriched
Foster_2024.SMM6_neg,T cell-depleted
Foster_2024.SMM6_pos,T cell-enriched
Foster_2024.SMM7_neg,T cell-depleted
Foster_2024.SMM7_pos,T cell-enriched
Foster_2024.SMM8_neg,T cell-depleted
Foster_2024.SMM8_pos,T cell-enriched
Foster_2024.SMM9_neg,T cell-depleted
Foster_2024.SMM9_pos,T cell-enriched
