obs_names,subclus,leiden_recl
Foster_2024.MGUS1_pos:350,Invar,1
Foster_2024.MGUS1_pos:527,Invar,1
Foster_2024.MGUS1_pos:1176,Invar,0
Foster_2024.MGUS1_pos:2045,Invar,1
Foster_2024.MGUS1_pos:2585,Invar,1
Foster_2024.MGUS1_pos:2608,Invar,1
Foster_2024.MGUS1_pos:3713,Invar,0
Foster_2024.MGUS1_pos:4113,Invar,0
Foster_2024.MGUS1_pos:4164,Invar,1
Foster_2024.MGUS1_pos:5673,Invar,0
Foster_2024.MGUS1_pos:6274,Invar,1
Foster_2024.SMM9_neg:926,Invar,0
Foster_2024.SMM9_neg:1053,Invar,0
Foster_2024.SMM9_neg:1407,Invar,0
Foster_2024.SMM9_neg:2042,Invar,0
Foster_2024.SMM9_neg:2575,Invar,0
Foster_2024.SMM9_neg:3318,Invar,1
Foster_2024.SMM7_pos:587,Invar,0
Foster_2024.SMM7_pos:900,Invar,0
Foster_2024.SMM7_pos:1432,Invar,0
Foster_2024.SMM7_pos:1467,Invar,0
Foster_2024.SMM7_pos:1805,Invar,0
Foster_2024.SMM7_pos:1811,Invar,0
Foster_2024.SMM7_pos:2230,Invar,1
Foster_2024.SMM7_pos:2241,Invar,2
Foster_2024.SMM7_pos:2962,Invar,0
Foster_2024.SMM3_neg:217,Invar,0
Foster_2024.SMM3_neg:715,Invar,1
Foster_2024.SMM3_neg:980,Invar,0
Foster_2024.SMM3_neg:1095,Invar,1
Foster_2024.SMM3_neg:1178,Invar,0
Foster_2024.SMM3_neg:1384,Invar,0
Foster_2024.SMM3_neg:1454,Invar,1
Foster_2024.SMM3_neg:1559,Invar,0
Foster_2024.SMM3_neg:1664,Invar,1
Foster_2024.SMM3_neg:1993,Invar,0
Foster_2024.SMM3_neg:2086,Invar,0
Foster_2024.SMM3_neg:2570,Invar,0
Foster_2024.SMM7_neg:1854,Invar,0
Foster_2024.SMM7_neg:2355,Invar,3
Foster_2024.SMM7_neg:2976,Invar,0
Foster_2024.SMM7_neg:3156,Invar,0
Foster_2024.SMM7_neg:3458,Invar,0
Foster_2024.SMM7_neg:4280,Invar,1
Foster_2024.SMM7_neg:4509,Invar,0
Foster_2024.SMM7_neg:4778,Invar,0
Foster_2024.SMM9_pos:7,Invar,0
Foster_2024.SMM9_pos:299,Invar,0
Foster_2024.SMM9_pos:308,Invar,0
Foster_2024.SMM9_pos:1477,Invar,0
Foster_2024.SMM9_pos:1501,Invar,1
Foster_2024.SMM9_pos:1920,Invar,0
Foster_2024.SMM9_pos:2127,Invar,0
Foster_2024.SMM9_pos:3340,Invar,1
Foster_2024.SMM9_pos:3562,Invar,0
Foster_2024.SMM9_pos:3825,Invar,3
Foster_2024.SMM9_pos:3942,Invar,0
Foster_2024.SMM9_pos:4013,Invar,1
Foster_2024.SMM9_pos:4176,Invar,0
Foster_2024.SMM9_pos:4304,Invar,0
Foster_2024.SMM9_pos:4611,Invar,3
Foster_2024.SMM9_pos:5076,Invar,0
Foster_2024.SMM9_pos:5468,Invar,0
Foster_2024.SMM9_pos:5703,Invar,1
Foster_2024.SMM9_pos:6027,Invar,1
Foster_2024.SMM9_pos:6135,Invar,0
Foster_2024.SMM9_pos:6587,Invar,0
Foster_2024.SMM9_pos:6667,Invar,0
Foster_2024.SMM9_pos:7001,Invar,0
Foster_2024.SMM9_pos:7014,Invar,1
Foster_2024.SMM9_pos:7037,Invar,0
Foster_2024.SMM9_pos:7253,Invar,0
Foster_2024.SMM9_pos:7917,Invar,0
Foster_2024.SMM9_pos:8156,Invar,1
Foster_2024.SMM9_pos:8673,Invar,0
Foster_2024.SMM9_pos:9179,Invar,0
Foster_2024.SMM9_pos:9704,Invar,0
Foster_2024.SMM9_pos:9709,Invar,0
Foster_2024.SMM9_pos:10367,Invar,0
Foster_2024.SMM9_pos:10846,Invar,0
Foster_2024.SMM9_pos:10867,Invar,0
Foster_2024.SMM9_pos:10946,Invar,0
Foster_2024.SMM9_pos:10994,Invar,1
Foster_2024.MGUS1_neg:230,Invar,0
Foster_2024.MGUS1_neg:742,Invar,1
Foster_2024.MGUS1_neg:1229,Invar,0
Foster_2024.MGUS1_neg:1432,Invar,1
Foster_2024.MGUS1_neg:2389,Invar,3
Foster_2024.MGUS1_neg:2410,Invar,1
Foster_2024.MGUS1_neg:2441,Invar,1
Foster_2024.MGUS1_neg:3594,Invar,1
Foster_2024.MGUS1_neg:3763,Invar,0
Foster_2024.MGUS1_neg:4081,Invar,1
Foster_2024.MGUS1_neg:4280,Invar,1
Foster_2024.MGUS1_neg:4694,Invar,3
Foster_2024.MGUS1_neg:5044,Invar,0
Foster_2024.MGUS1_neg:5284,Invar,1
Foster_2024.SMM12_pos:393,Invar,1
Foster_2024.SMM12_pos:446,Invar,1
Foster_2024.SMM12_pos:787,Invar,1
Foster_2024.SMM12_pos:874,Invar,1
Foster_2024.SMM12_pos:939,Invar,1
Foster_2024.SMM12_pos:1055,Invar,1
Foster_2024.SMM12_pos:1119,Invar,0
Foster_2024.SMM12_pos:1238,Invar,1
Foster_2024.SMM12_pos:1281,Invar,1
Foster_2024.SMM12_pos:1301,Invar,1
Foster_2024.SMM12_pos:1498,Invar,1
Foster_2024.SMM12_pos:1546,Invar,1
Foster_2024.SMM12_pos:1764,Invar,1
Foster_2024.SMM12_pos:1865,Invar,1
Foster_2024.SMM12_pos:1902,Invar,1
Foster_2024.SMM12_pos:2352,Invar,1
Foster_2024.SMM12_pos:2548,Invar,1
Foster_2024.SMM12_pos:2556,Invar,0
Foster_2024.SMM12_pos:2636,Invar,1
Foster_2024.SMM12_pos:2863,Invar,1
Foster_2024.SMM12_pos:3091,Invar,1
Foster_2024.SMM12_pos:3234,Invar,1
Foster_2024.SMM12_pos:3308,Invar,1
Foster_2024.SMM12_pos:3315,Invar,1
Foster_2024.SMM12_pos:3372,Invar,1
