,gene
IGHA1,IGHA1
IGHA2,IGHA2
IGHD,IGHD
IGHD3-10,IGHD3-10
IGHD3-16,IGHD3-16
IGHD3-22,IGHD3-22
IGHE,IGHE
IGHEP1,IGHEP1
IGHEP2,IGHEP2
IGHG1,IGHG1
IGHG2,IGHG2
IGHG3,IGHG3
IGHG4,IGHG4
IGHGP,IGHGP
IGHJ1,IGHJ1
IGHJ2,IGHJ2
IGHJ3,IGHJ3
IGHJ4,IGHJ4
IGHJ5,IGHJ5
IGHJ6,IGHJ6
IGHM,IGHM
IGHMBP2,IGHMBP2
IGHV1-12,IGHV1-12
IGHV1-14,IGHV1-14
IGHV1-17,IGHV1-17
IGHV1-18,IGHV1-18
IGHV1-2,IGHV1-2
IGHV1-24,IGHV1-24
IGHV1-3,IGHV1-3
IGHV1-45,IGHV1-45
IGHV1-46,IGHV1-46
IGHV1-58,IGHV1-58
IGHV1-67,IGHV1-67
IGHV1-68,IGHV1-68
IGHV1-69,IGHV1-69
IGHV1-69-2,IGHV1-69-2
IGHV1-69D,IGHV1-69D
IGHV1OR15-1,IGHV1OR15-1
IGHV1OR15-2,IGHV1OR15-2
IGHV1OR15-3,IGHV1OR15-3
IGHV1OR15-9,IGHV1OR15-9
IGHV1OR16-1,IGHV1OR16-1
IGHV1OR16-4,IGHV1OR16-4
IGHV2-26,IGHV2-26
IGHV2-5,IGHV2-5
IGHV2-70,IGHV2-70
IGHV2-70-1,IGHV2-70-1
IGHV2-70D,IGHV2-70D
IGHV2OR16-5,IGHV2OR16-5
IGHV3-11,IGHV3-11
IGHV3-13,IGHV3-13
IGHV3-15,IGHV3-15
IGHV3-16,IGHV3-16
IGHV3-19,IGHV3-19
IGHV3-20,IGHV3-20
IGHV3-21,IGHV3-21
IGHV3-22,IGHV3-22
IGHV3-23,IGHV3-23
IGHV3-25,IGHV3-25
IGHV3-29,IGHV3-29
IGHV3-30,IGHV3-30
IGHV3-32,IGHV3-32
IGHV3-33,IGHV3-33
IGHV3-35,IGHV3-35
IGHV3-36,IGHV3-36
IGHV3-37,IGHV3-37
IGHV3-38,IGHV3-38
IGHV3-41,IGHV3-41
IGHV3-42,IGHV3-42
IGHV3-43,IGHV3-43
IGHV3-47,IGHV3-47
IGHV3-48,IGHV3-48
IGHV3-49,IGHV3-49
IGHV3-52,IGHV3-52
IGHV3-53,IGHV3-53
IGHV3-6,IGHV3-6
IGHV3-60,IGHV3-60
IGHV3-62,IGHV3-62
IGHV3-63,IGHV3-63
IGHV3-64,IGHV3-64
IGHV3-64D,IGHV3-64D
IGHV3-65,IGHV3-65
IGHV3-66,IGHV3-66
IGHV3-69-1,IGHV3-69-1
IGHV3-7,IGHV3-7
IGHV3-71,IGHV3-71
IGHV3-72,IGHV3-72
IGHV3-73,IGHV3-73
IGHV3-74,IGHV3-74
IGHV3-75,IGHV3-75
IGHV3OR15-7,IGHV3OR15-7
IGHV3OR16-10,IGHV3OR16-10
IGHV3OR16-11,IGHV3OR16-11
IGHV3OR16-12,IGHV3OR16-12
IGHV3OR16-13,IGHV3OR16-13
IGHV3OR16-15,IGHV3OR16-15
IGHV3OR16-7,IGHV3OR16-7
IGHV3OR16-8,IGHV3OR16-8
IGHV3OR16-9,IGHV3OR16-9
IGHV4-28,IGHV4-28
IGHV4-31,IGHV4-31
IGHV4-34,IGHV4-34
IGHV4-39,IGHV4-39
IGHV4-4,IGHV4-4
IGHV4-55,IGHV4-55
IGHV4-59,IGHV4-59
IGHV4-61,IGHV4-61
IGHV4-80,IGHV4-80
IGHV4OR15-8,IGHV4OR15-8
IGHV5-10-1,IGHV5-10-1
IGHV5-51,IGHV5-51
IGHV5-78,IGHV5-78
IGHV6-1,IGHV6-1
IGHV7-27,IGHV7-27
IGHV7-34-1,IGHV7-34-1
IGHV7-4-1,IGHV7-4-1
IGHV7-81,IGHV7-81
IGHVII-15-1,IGHVII-15-1
IGHVII-44-2,IGHVII-44-2
IGHVII-74-1,IGHVII-74-1
IGHVIII-11-1,IGHVIII-11-1
IGHVIII-2-1,IGHVIII-2-1
IGHVIII-38-1,IGHVIII-38-1
IGHVIII-44,IGHVIII-44
