pathway,pathway_neat,gene
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,TOP2A
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,UBE2C
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,HMGB2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,NUSAP1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CENPF
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CCNB1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,TPX2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CKS2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,BIRC5
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,PRC1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,PTTG1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,KPNA2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,MKI67
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CDC20
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CDK1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CCNB2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CDKN3
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,SMC4
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,NUF2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,ARL6IP1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CKAP2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,ASPM
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,PLK1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CKS1B
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CCNA2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,AURKA
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,MAD2L1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,GTSE1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,HMMR
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,UBE2T
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CENPE
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CENPA
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,KIF20B
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,AURKB
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CDCA3
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CDCA8
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,UBE2S
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,KNSTRN
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,KIF2C
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,PBK
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,TUBA1B
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,DLGAP5
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,TACC3
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,STMN1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,DEPDC1
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,ECT2
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,CENPW
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,ZWINT
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,HIST1H4C
MP1  Cell Cycle - G2/M,Cell Cycle - G2/M,KIF23
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,PCNA
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,RRM2
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,FEN1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,GINS2
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,TYMS
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,MCM3
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,GMNN
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,HIST1H4C
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,CLSPN
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,ATAD2
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,TK1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,KIAA0101
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,DUT
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,HELLS
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,MCM7
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,UBE2T
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,MCM4
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,CENPU
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,DHFR
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,ZWINT
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,ASF1B
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,MCM5
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,DNAJC9
