,gene
RPL10,RPL10
RPL10A,RPL10A
RPL10L,RPL10L
RPL11,RPL11
RPL12,RPL12
RPL13,RPL13
RPL13A,RPL13A
RPL14,RPL14
RPL15,RPL15
RPL17,RPL17
RPL17-C18orf32,RPL17-C18orf32
RPL18,RPL18
RPL18A,RPL18A
RPL19,RPL19
RPL21,RPL21
RPL22,RPL22
RPL22L1,RPL22L1
RPL23,RPL23
RPL23A,RPL23A
RPL24,RPL24
RPL26,RPL26
RPL26L1,RPL26L1
RPL27,RPL27
RPL27A,RPL27A
RPL28,RPL28
RPL29,RPL29
RPL3,RPL3
RPL30,RPL30
RPL31,RPL31
RPL32,RPL32
RPL34,RPL34
RPL34-AS1,RPL34-AS1
RPL35,RPL35
RPL35A,RPL35A
RPL36,RPL36
RPL36A,RPL36A
RPL36A-HNRNPH2,RPL36A-HNRNPH2
RPL36AL,RPL36AL
RPL37,RPL37
RPL37A,RPL37A
RPL38,RPL38
RPL39,RPL39
RPL39L,RPL39L
RPL3L,RPL3L
RPL4,RPL4
RPL41,RPL41
RPL5,RPL5
RPL6,RPL6
RPL7,RPL7
RPL7A,RPL7A
RPL7L1,RPL7L1
RPL8,RPL8
RPL9,RPL9
RPLP0,RPLP0
RPLP1,RPLP1
RPLP2,RPLP2
RPS10,RPS10
RPS10-NUDT3,RPS10-NUDT3
RPS11,RPS11
RPS12,RPS12
RPS13,RPS13
RPS14,RPS14
RPS15,RPS15
RPS15A,RPS15A
RPS16,RPS16
RPS17,RPS17
RPS18,RPS18
RPS19,RPS19
RPS19BP1,RPS19BP1
RPS2,RPS2
RPS20,RPS20
RPS21,RPS21
RPS23,RPS23
RPS24,RPS24
RPS25,RPS25
RPS26,RPS26
RPS27,RPS27
RPS27A,RPS27A
RPS27L,RPS27L
RPS28,RPS28
RPS29,RPS29
RPS3,RPS3
RPS3A,RPS3A
RPS4X,RPS4X
RPS4Y1,RPS4Y1
RPS4Y2,RPS4Y2
RPS5,RPS5
RPS6,RPS6
RPS6KA1,RPS6KA1
RPS6KA2,RPS6KA2
RPS6KA2-AS1,RPS6KA2-AS1
RPS6KA2-IT1,RPS6KA2-IT1
RPS6KA3,RPS6KA3
RPS6KA4,RPS6KA4
RPS6KA5,RPS6KA5
RPS6KA6,RPS6KA6
RPS6KB1,RPS6KB1
RPS6KB2,RPS6KB2
RPS6KB2-AS1,RPS6KB2-AS1
RPS6KC1,RPS6KC1
RPS6KL1,RPS6KL1
RPS7,RPS7
RPS8,RPS8
RPS9,RPS9
RPSA,RPSA
