pheno,celltype,t1,t2,diff,gene,labels2,notes
CD4.Tn,CD4.Tn,CD4,Tn,1,,CD4+Tn,
CD4.Tcm,CD4.Tcm,CD4,Tcm,2,,CD4+Tcm,
Treg,CD4.Treg,CD4,Treg,3,FOXP3,CD4+Treg,
CD4.Th17,CD4.Th17,CD4,Th17,4,CCR6,CD4+Th17,
CD4.Tem,CD4.Tem,CD4,Tem,5,GZMK,CD4+Tem,
CD4.CTL,CD4.CTL,CD4,Temra,6,GZMB,CD4+Temra,
CD8.Tn,CD8.Tn,CD8,Tn,1,,CD8+Tn,
CD8.Tcm,CD8.Tcm,CD8,Tcm,2,,CD8+Tcm,
CD8.Tem.IL7R,CD8.Tem.IL7R,CD8,Tem,3,TCF7,CD8+Tem.TCF7+,
CD8.Tem.KLRG1,CD8.Tem.KLRG1,CD8,Tem,4,S1PR1,CD8+Tem.S1PR1+,batch
CD8.TemActive,CD8.TemActive,CD8,Tem,5,CD69,CD8+Tem.CD69+,
CD8.TemTerm,CD8.TemTerm,CD8,Temra,6,ZNF683,CD8+Tte,
CD8.TEMRA,CD8.TEMRA,CD8,Temra,7,TYROBP,CD8+Temra,
CD8.Trm,CD8.Trm,CD8,Trm,8,,CD8+Trm,
CD8.Tex,CD8.Tex,CD8,Tex,9,,CD8+Tex,
ISG.ISG15,ISG.ISG15,IFN-stim.,,3,ISG15,IFN+stim.,
MAIT_gdT,MAIT_gdT,Invariant,,1,KLRB1(CD161),Invariant,
Prolif.,Prolif.,Proliferating,,2,MKI67,Proliferating,
ISG.IFIT2,Teff.IFIT2,Teff,,4,TNF,Teff,
CD4.Treg,CD4.Treg,CD4,Treg,3,FOXP3,CD4+Treg,
Teff.IFIT2,Teff.IFIT2,Teff,,4,TNF,Teff,
