"donor_id","chain","clone_id","hit","annot"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-15","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-2515","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-23","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-2897","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-15","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-23","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-1037","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-1037","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-147","1match1clus","EBV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-69","1match1clus","EBV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-147","1match1clus","EBV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-69","1match1clus","EBV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-72","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-100","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-72","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-100","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-1073","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-1074","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-1075","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-1076","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-190","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-29","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-112","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-1269","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-1271","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-46","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.HD1-273","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-190","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-29","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-3675","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-3676","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-47","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-112","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-25","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-46","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-503","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM10-426","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM10-427","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM13-158","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM5-163","2match","CMV"
"Foster_2024.SMM1","TRA","MH8919179-142","2match","CMV"
"Foster_2024.SMM1","TRA","MH8919179-28","2match","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-3419","1match1clus","CMV"
"Foster_2024.SMM1","TRA","MH8919176-50","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-472","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-3419","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-64","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-110","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-64","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-110","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-3217","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-3066","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-3218","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MGUS1-3827","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.MM4-3066","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-3217","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-3218","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.MM4-47","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-1266","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-25","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM10-427","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM13-158","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM5-163","2match","CMV"
"Foster_2024.SMM1","TRB","MH8919179-28","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.HD1-254","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-1370","1match1clus","CMV"
"Foster_2024.SMM1","TRA","Foster_2024.SMM1-1370","1match1clus","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM1-503","2match","CMV"
"Foster_2024.SMM1","TRB","Foster_2024.SMM10-426","2match","CMV"
"Foster_2024.SMM1","TRB","MM-P20190322_C000826:1","2match","CMV"
